"","original","person","timeStamp","comment"
"1","Adam Schiff: (00:00) Ask for your respect as we proceed with today’s hearing. It’s the intention of the committee to proceed without disruptions. As chairman, I’ll take all necessary and appropriate steps to maintain order and ensure that the committee is run in accordance with House rules and House Resolution 660. With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States.","Adam Schiff","00:00","Ask for your respect as we proceed with today’s hearing. It’s the intention of the committee to proceed without disruptions. As chairman, I’ll take all necessary and appropriate steps to maintain order and ensure that the committee is run in accordance with House rules and House Resolution 660. With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States."
"2","Adam Schiff: (00:23) Yesterday morning, the Committee heard from Ambassador Gordon Sondland, the American Ambassador to the European Union, the de facto leader of the three amigos, who had regular access to President Donald Trump and pressed the new Ukrainian president, Volodymyr Zelensky, for two investigations, Trump believed would help his reelection campaign. The first investigation was of a discredited conspiracy theory that Ukraine and not Russia was responsible for interfering in our 2016 election. The second investigation was into the political rival Trump apparently feared most, Joe Biden. Trump sought to weaken Biden, and to refute the fact that his own election had been helped by a Russian hacking and dumping operation and Russian social media campaign directed by Vladimir Putin.","Adam Schiff","00:23","Yesterday morning, the Committee heard from Ambassador Gordon Sondland, the American Ambassador to the European Union, the de facto leader of the three amigos, who had regular access to President Donald Trump and pressed the new Ukrainian president, Volodymyr Zelensky, for two investigations, Trump believed would help his reelection campaign. The first investigation was of a discredited conspiracy theory that Ukraine and not Russia was responsible for interfering in our 2016 election. The second investigation was into the political rival Trump apparently feared most, Joe Biden. Trump sought to weaken Biden, and to refute the fact that his own election had been helped by a Russian hacking and dumping operation and Russian social media campaign directed by Vladimir Putin."
"3","Adam Schiff: (01:12) Trump’s scheme stood in contrast to the longstanding bipartisan foreign policy of the United States by undermining military and diplomatic support for a key ally, and set back US anti-corruption efforts in Ukraine. In conditioning a meeting with Zelensky and then military aid on securing an investigation of his rival, Trump put his personal and political interests above those of the United States. Ambassador Sondland would later tell career Foreign Service Officer, David Holmes, immediately after speaking to the president, Trump did not give a expletive about Ukraine. He cares about big stuff that benefits him, like the Biden investigation that Giuliani was pushing.","Adam Schiff","01:12","Trump’s scheme stood in contrast to the longstanding bipartisan foreign policy of the United States by undermining military and diplomatic support for a key ally, and set back US anti-corruption efforts in Ukraine. In conditioning a meeting with Zelensky and then military aid on securing an investigation of his rival, Trump put his personal and political interests above those of the United States. Ambassador Sondland would later tell career Foreign Service Officer, David Holmes, immediately after speaking to the president, Trump did not give a expletive about Ukraine. He cares about big stuff that benefits him, like the Biden investigation that Giuliani was pushing."
"4","Adam Schiff: (01:54) David Holmes is here with us today. He is a Foreign Service Officer currently serving as the Political Counselor at the US Embassy in Kyiv. Also with us is Dr. Fiona Hill, whose job as the National Security Council’s Senior Director for European and Russian Affairs encompassed the coordination of US policy towards Ukraine. Dr. Hill left the NSC in July, after more than two years in that position. Dr. Hill and Mr. Holmes each provide a unique perspective on issues relating to Ukraine, Dr. Hill from Washington, DC, and Mr. Holmes from on the ground in Kyiv.","Adam Schiff","01:54","David Holmes is here with us today. He is a Foreign Service Officer currently serving as the Political Counselor at the US Embassy in Kyiv. Also with us is Dr. Fiona Hill, whose job as the National Security Council’s Senior Director for European and Russian Affairs encompassed the coordination of US policy towards Ukraine. Dr. Hill left the NSC in July, after more than two years in that position. Dr. Hill and Mr. Holmes each provide a unique perspective on issues relating to Ukraine, Dr. Hill from Washington, DC, and Mr. Holmes from on the ground in Kyiv."
"5","Adam Schiff: (02:29) In early 2019, Dr. Hill became concerned by the increasing prominence of Rudy Giuliani, the president’s personal lawyer, who was, as she has testified, asserting quite frequently on television in public appearances that he had been given some authority over matters related to Ukraine. Hill was not alone in her concerns. Her boss, National Security Advisor, John Bolton, was also paying attention, as were other NSC and State Department officials, including Holmes at the US Embassy in Kyiv. Bolton viewed Giuliani as a hand grenade that is going to blow everybody up, and was powerless to prevent the former mayor from engineering former US Ambassador to Ukraine, Marie Yovanovitch’s firing in late April or the recall. Holmes was stunned by the intensity and consistency of the media attacks on Yovanovitch, by name as a US Ambassador and the scope of the allegations that were leveled against her.","Adam Schiff","02:29","In early 2019, Dr. Hill became concerned by the increasing prominence of Rudy Giuliani, the president’s personal lawyer, who was, as she has testified, asserting quite frequently on television in public appearances that he had been given some authority over matters related to Ukraine. Hill was not alone in her concerns. Her boss, National Security Advisor, John Bolton, was also paying attention, as were other NSC and State Department officials, including Holmes at the US Embassy in Kyiv. Bolton viewed Giuliani as a hand grenade that is going to blow everybody up, and was powerless to prevent the former mayor from engineering former US Ambassador to Ukraine, Marie Yovanovitch’s firing in late April or the recall. Holmes was stunned by the intensity and consistency of the media attacks on Yovanovitch, by name as a US Ambassador and the scope of the allegations that were leveled against her."
"6","Adam Schiff: (03:28) Yovanovitch’s dismissal as a result of Giuliani’s smear campaign was one of several things that unsettled Dr. Hill. Another was the role of Gordon Sondland, who emerged as a key player in Ukraine policy in May when he was named as part of the US delegation led by Secretary, Rick Perry, to President Zelensky’s inauguration. Lieutenant Colonel Alexander Vindman, also attended the inauguration, and as Holmes recalls, during a meeting with President Zelensky, took the opportunity to advise the new Ukrainian leader to stay out of US domestic politics.","Adam Schiff","03:28","Yovanovitch’s dismissal as a result of Giuliani’s smear campaign was one of several things that unsettled Dr. Hill. Another was the role of Gordon Sondland, who emerged as a key player in Ukraine policy in May when he was named as part of the US delegation led by Secretary, Rick Perry, to President Zelensky’s inauguration. Lieutenant Colonel Alexander Vindman, also attended the inauguration, and as Holmes recalls, during a meeting with President Zelensky, took the opportunity to advise the new Ukrainian leader to stay out of US domestic politics."
"7","Adam Schiff: (04:05) Another concern that arose for Dr. Hill around this time was her discovery of a potential NSC back channel on Ukraine. Hill learned that an NSC staff member who did not work on Ukraine and for her may have been providing Ukraine-related information to President Trump that Dr. Hill was not made aware of. According to Holmes, following the Zelensky inauguration, Sondland and Perry took a very active and unconventional role in formulating our priorities for the new Zelensky administration and personally reaching out to President Zelensky and his senior team. Sondland’s newfound assertiveness also concerned Dr. Hill, who previously had enjoyed a cordial working relationship with the ambassador.","Adam Schiff","04:05","Another concern that arose for Dr. Hill around this time was her discovery of a potential NSC back channel on Ukraine. Hill learned that an NSC staff member who did not work on Ukraine and for her may have been providing Ukraine-related information to President Trump that Dr. Hill was not made aware of. According to Holmes, following the Zelensky inauguration, Sondland and Perry took a very active and unconventional role in formulating our priorities for the new Zelensky administration and personally reaching out to President Zelensky and his senior team. Sondland’s newfound assertiveness also concerned Dr. Hill, who previously had enjoyed a cordial working relationship with the ambassador."
"8","Adam Schiff: (04:47) On June 18, 2019, Hill had a blow-up with Sondland when he told her that he was in charge of Ukraine policy. Dr. Hill testified that Sondland got testy with me. And I said, “Who has put you in charge of it?” He said, “The President.” On July 10th, Dr. Hill was part of a meeting at the White House with a group of US and Ukrainian officials, including Bolton, Sondland and Energy Secretary, Perry, another of the three amigos. The meeting was intended, among other things, to give the Ukrainians an opportunity to convey that they were very anxious to set up a meeting, a first meeting between their new president and President Trump. Sondland interjected to inform the group that according to White House Chief of Staff, Mick Mulvaney, the White House meeting sought by the Ukrainian president with Trump would happen if Ukraine undertook certain investigations. Hearing this, Bolton abruptly ended the meeting.","Adam Schiff","04:47","On June 18, 2019, Hill had a blow-up with Sondland when he told her that he was in charge of Ukraine policy. Dr. Hill testified that Sondland got testy with me. And I said, “Who has put you in charge of it?” He said, “The President.” On July 10th, Dr. Hill was part of a meeting at the White House with a group of US and Ukrainian officials, including Bolton, Sondland and Energy Secretary, Perry, another of the three amigos. The meeting was intended, among other things, to give the Ukrainians an opportunity to convey that they were very anxious to set up a meeting, a first meeting between their new president and President Trump. Sondland interjected to inform the group that according to White House Chief of Staff, Mick Mulvaney, the White House meeting sought by the Ukrainian president with Trump would happen if Ukraine undertook certain investigations. Hearing this, Bolton abruptly ended the meeting."
"9","Adam Schiff: (05:43) Undeterred, Sondland brought the Ukrainian delegation and the NSC Director for Ukraine, Lieutenant Colonel Alexander Vindman downstairs to another part of the White House, where they were later joined by Dr. Hill. In this second meeting, Sondland was more explicit. Ukraine needed to conduct investigations if they were to get a meeting at all. Bolton directed Dr. Hill to report this to NSC legal advisor, John Eisenberg, telling her, “You go and tell Eisenberg that I am not part of whatever drug deal Sondland and Mulvaney are cooking up on this, and you go ahead and tell him what you’ve heard and what I’ve said.” Dr. Hill did so, as did Lieutenant Colonel Vindman, who separately approached the same lawyers with his concerns.","Adam Schiff","05:43","Undeterred, Sondland brought the Ukrainian delegation and the NSC Director for Ukraine, Lieutenant Colonel Alexander Vindman downstairs to another part of the White House, where they were later joined by Dr. Hill. In this second meeting, Sondland was more explicit. Ukraine needed to conduct investigations if they were to get a meeting at all. Bolton directed Dr. Hill to report this to NSC legal advisor, John Eisenberg, telling her, “You go and tell Eisenberg that I am not part of whatever drug deal Sondland and Mulvaney are cooking up on this, and you go ahead and tell him what you’ve heard and what I’ve said.” Dr. Hill did so, as did Lieutenant Colonel Vindman, who separately approached the same lawyers with his concerns."
"10","Adam Schiff: (06:26) On July 18, the day before Dr. Hill left her post at the NSC, Holmes participated in a secure interagency videoconference on Ukraine. Towards the end of the meeting, a representative from the Office of Management and Budget announced that the flow of nearly $400 million in security assistance for Ukraine was being held up. The order had come from the president and had been conveyed to OMB by acting White House Chief of Staff, Mick Mulvaney, without further explanation. Holmes, unaware of the hold prior to the call, was shocked. He thought the suspension of aid was extremely significant, undermining what he had understood to be longstanding US national security goals in Ukraine.","Adam Schiff","06:26","On July 18, the day before Dr. Hill left her post at the NSC, Holmes participated in a secure interagency videoconference on Ukraine. Towards the end of the meeting, a representative from the Office of Management and Budget announced that the flow of nearly $400 million in security assistance for Ukraine was being held up. The order had come from the president and had been conveyed to OMB by acting White House Chief of Staff, Mick Mulvaney, without further explanation. Holmes, unaware of the hold prior to the call, was shocked. He thought the suspension of aid was extremely significant, undermining what he had understood to be longstanding US national security goals in Ukraine."
