"","original","person","timeStamp","comment"
"1","Sondland: (00:00) I appreciate the opportunity to speak again to the members of this committee. First, let me offer my thanks to the men and women of the US Department of State, who have committed their professional lives to support the foreign policy work of the United States. In particular, I want to thank my staff at the US Mission to the European Union. Your integrity, dedication, and hard work often performed without public acclaim or recognition serve as a shining example of true public service. And I am personally grateful to work beside you each and every day.","Sondland","00:00","I appreciate the opportunity to speak again to the members of this committee. First, let me offer my thanks to the men and women of the US Department of State, who have committed their professional lives to support the foreign policy work of the United States. In particular, I want to thank my staff at the US Mission to the European Union. Your integrity, dedication, and hard work often performed without public acclaim or recognition serve as a shining example of true public service. And I am personally grateful to work beside you each and every day."
"2","Sondland: (00:44) It is my honor to serve as the US Ambassador to the European Union. The US Mission to the EU is the direct link between the United States and the European Union and its members. America’s longest standing allies and one of the largest economic blocks in the world. Every day I work to support a strong, united and peaceful Europe. Strengthening our ties with Europe serves both American and European goals as we together promote political stability and economic prosperity around the world.","Sondland","00:44","It is my honor to serve as the US Ambassador to the European Union. The US Mission to the EU is the direct link between the United States and the European Union and its members. America’s longest standing allies and one of the largest economic blocks in the world. Every day I work to support a strong, united and peaceful Europe. Strengthening our ties with Europe serves both American and European goals as we together promote political stability and economic prosperity around the world."
"3","Sondland: (01:24) I expect that few Americans have heard my name before these events. So before I begin my substantive testimony, please let me share some of my personal background. My parents fled Europe during the Holocaust. Escaping the atrocities of that time, my parents left Germany for Uruguay and then in 1953 emigrated to Seattle, Washington, where I was born and raised. Like so many immigrants, my family was eager for freedom and hungry for opportunity. They raised my sister and me to be humble, hardworking and patriotic and I am forever grateful for the sacrifices they made on our behalf.","Sondland","01:24","I expect that few Americans have heard my name before these events. So before I begin my substantive testimony, please let me share some of my personal background. My parents fled Europe during the Holocaust. Escaping the atrocities of that time, my parents left Germany for Uruguay and then in 1953 emigrated to Seattle, Washington, where I was born and raised. Like so many immigrants, my family was eager for freedom and hungry for opportunity. They raised my sister and me to be humble, hardworking and patriotic and I am forever grateful for the sacrifices they made on our behalf."
"4","Sondland: (02:12) Public service has always been important to me. As a lifelong Republican, I have contributed to initiatives of both Republican and Democratic administrations. In 2003, I served as a member of the transition team for Oregon Democratic Governor Ted Kulongoski. Governor Kulongoski also appointed me to serve on various statewide boards. In 2007, President George W. Bush appointed me as a member of the Commission on White House Fellows. I worked with President Bush on charitable events for his foundation’s military service initiative. And I also worked briefly with former Vice President Joe Biden’s office in connection with the vice president’s nationwide anti-cancer initiative at a local Northwest hospital.","Sondland","02:12","Public service has always been important to me. As a lifelong Republican, I have contributed to initiatives of both Republican and Democratic administrations. In 2003, I served as a member of the transition team for Oregon Democratic Governor Ted Kulongoski. Governor Kulongoski also appointed me to serve on various statewide boards. In 2007, President George W. Bush appointed me as a member of the Commission on White House Fellows. I worked with President Bush on charitable events for his foundation’s military service initiative. And I also worked briefly with former Vice President Joe Biden’s office in connection with the vice president’s nationwide anti-cancer initiative at a local Northwest hospital."
"5","Sondland: (03:07) And of course the highest honor in my public life came when President Trump asked me to serve as the United States Ambassador to the European Union. The Senate confirmed me as an ambassador on a bipartisan voice vote and I assumed the role in Brussels on July 9th, 2018. Although today is my first public testimony on the Ukraine matters, this is not my first time cooperating with this committee. As you know, I’ve already provided 10 hours of deposition testimony. And I did so despite directives from the White House and the State Department that I refused to appear as many others have done. I agreed to testify because I respect the gravity of the moment and I believe I have an obligation to account fully for my role in these events.","Sondland","03:07","And of course the highest honor in my public life came when President Trump asked me to serve as the United States Ambassador to the European Union. The Senate confirmed me as an ambassador on a bipartisan voice vote and I assumed the role in Brussels on July 9th, 2018. Although today is my first public testimony on the Ukraine matters, this is not my first time cooperating with this committee. As you know, I’ve already provided 10 hours of deposition testimony. And I did so despite directives from the White House and the State Department that I refused to appear as many others have done. I agreed to testify because I respect the gravity of the moment and I believe I have an obligation to account fully for my role in these events."
"6","Sondland: (04:06) But I also must acknowledge that this process has been challenging. And in many respects, less than fair. I have not had access to all of my phone records, State Department emails and many, many other State Department documents. And I was told I could not work with my EU staff to pull together the relevant files and information. Having access to the State Department materials would have been very helpful to me in trying to reconstruct with whom I spoke and met and when and what was said.","Sondland","04:06","But I also must acknowledge that this process has been challenging. And in many respects, less than fair. I have not had access to all of my phone records, State Department emails and many, many other State Department documents. And I was told I could not work with my EU staff to pull together the relevant files and information. Having access to the State Department materials would have been very helpful to me in trying to reconstruct with whom I spoke and met and when and what was said."
"7","Sondland: (04:43) As ambassador, I’ve had hundreds of meetings and calls with individuals, but I’m not a note taker or a memo writer. Never have been. My job requires that I speak with heads of state, senior government officials, members of the cabinet, the president almost each and every day. Talking with foreign leaders might be memorable to some people, but this is my job. I do it all the time. My lawyers and I have made multiple requests to the State Department and the White House for these materials. Yet these materials were not provided to me and they have also refused to share these materials with this committee. These documents are not classified. And in fairness should have been made available.","Sondland","04:43","As ambassador, I’ve had hundreds of meetings and calls with individuals, but I’m not a note taker or a memo writer. Never have been. My job requires that I speak with heads of state, senior government officials, members of the cabinet, the president almost each and every day. Talking with foreign leaders might be memorable to some people, but this is my job. I do it all the time. My lawyers and I have made multiple requests to the State Department and the White House for these materials. Yet these materials were not provided to me and they have also refused to share these materials with this committee. These documents are not classified. And in fairness should have been made available."
"8","Sondland: (05:41) In the absence of these materials, my memory, admittedly, has not been perfect. And I have no doubt that a more fair, open and orderly process of allowing me to read the State Department records and other materials would have made this process far more transparent. I don’t intend to repeat my prior opening statement or attempt to summarize 10 hours of previous deposition testimony. However, a few critical points have been obscured by noise over the last few days and weeks and I’m worried that the bigger picture is being ignored. So let me make a few key points.","Sondland","05:41","In the absence of these materials, my memory, admittedly, has not been perfect. And I have no doubt that a more fair, open and orderly process of allowing me to read the State Department records and other materials would have made this process far more transparent. I don’t intend to repeat my prior opening statement or attempt to summarize 10 hours of previous deposition testimony. However, a few critical points have been obscured by noise over the last few days and weeks and I’m worried that the bigger picture is being ignored. So let me make a few key points."
"9","Sondland: (06:25) First, Secretary Perry, Ambassador Volker and I worked with Mr. Rudy Giuliani on Ukraine matters at the express direction of the President of the United States. We did not want to work with Mr. Giuliani. Simply put, we were playing the hand we were dealt. We all understood that if we refuse to work with Mr. Giuliani, we would lose a very important opportunity to cement relations between the United States and Ukraine. So we followed the president’s orders.","Sondland","06:25","First, Secretary Perry, Ambassador Volker and I worked with Mr. Rudy Giuliani on Ukraine matters at the express direction of the President of the United States. We did not want to work with Mr. Giuliani. Simply put, we were playing the hand we were dealt. We all understood that if we refuse to work with Mr. Giuliani, we would lose a very important opportunity to cement relations between the United States and Ukraine. So we followed the president’s orders."
"10","Sondland: (07:07) Second, although we disagreed with the need to involve Mr. Giuliani at the time, we did not believe that his role was improper. As I previously testified, if I had known of all of Mr. Giuliani’s dealings or his associations with individuals, some of whom are now under criminal indictment, I personally would not have acquiesced to his participation. Still, given what we knew at the time, what we were asked to do did not appear to be wrong.","Sondland","07:07","Second, although we disagreed with the need to involve Mr. Giuliani at the time, we did not believe that his role was improper. As I previously testified, if I had known of all of Mr. Giuliani’s dealings or his associations with individuals, some of whom are now under criminal indictment, I personally would not have acquiesced to his participation. Still, given what we knew at the time, what we were asked to do did not appear to be wrong."
"11","Sondland: (07:44) Third, let me say precisely because we did not think that we were engaging in improper behavior, we made every effort to ensure that the relevant decision makers at the National Security Council and the State Department knew the important details of our efforts. The suggestion that we were engaged in some irregular or rogue diplomacy is absolutely false. I have now identified certain State Department emails and messages that provide contemporaneous support for my view. These emails show that the leadership of the State Department, the National Security Council, and the White House were all informed about the Ukraine efforts from May 23rd, 2019 until the security aid was released on September 11th, 2019. I will quote from some of those messages with shortly.","Sondland","07:44","Third, let me say precisely because we did not think that we were engaging in improper behavior, we made every effort to ensure that the relevant decision makers at the National Security Council and the State Department knew the important details of our efforts. The suggestion that we were engaged in some irregular or rogue diplomacy is absolutely false. I have now identified certain State Department emails and messages that provide contemporaneous support for my view. These emails show that the leadership of the State Department, the National Security Council, and the White House were all informed about the Ukraine efforts from May 23rd, 2019 until the security aid was released on September 11th, 2019. I will quote from some of those messages with shortly."
