"","original","person","timeStamp","comment"
"1","Adam Schiff: (00:00) Without objection, the chair is authorized to declare a recess so the committee, at any time, there is a quorum present.","Adam Schiff","00:00","Without objection, the chair is authorized to declare a recess so the committee, at any time, there is a quorum present."
"2","Adam Schiff: (00:07) Here’s how the committee will proceed for this hearing. I will make an opening statement, and then ranking member Nunes will have the opportunity to make a statement. And we will go to witness statements and then to questions.","Adam Schiff","00:07","Here’s how the committee will proceed for this hearing. I will make an opening statement, and then ranking member Nunes will have the opportunity to make a statement. And we will go to witness statements and then to questions."
"3","Adam Schiff: (00:19) For audience members, we welcome you and we respect your interest in being here. In turn, we ask for your respect as we proceed with today’s hearing.","Adam Schiff","00:19","For audience members, we welcome you and we respect your interest in being here. In turn, we ask for your respect as we proceed with today’s hearing."
"4","John Ratcliffe: (00:27) Mr. Chairman.","John Ratcliffe","00:27","Mr. Chairman."
"5","Adam Schiff: (00:28) It is the intention of the committee to proceed without disruptions.","Adam Schiff","00:28","It is the intention of the committee to proceed without disruptions."
"6","John Ratcliffe: (00:30) Mr. Chairman.","John Ratcliffe","00:30","Mr. Chairman."
"7","Adam Schiff: (00:32) What purpose?","Adam Schiff","00:32","What purpose?"
"8","John Ratcliffe: (00:32) May I make a parliamentary inquiry?","John Ratcliffe","00:32","May I make a parliamentary inquiry?"
"9","Adam Schiff: (00:34) Gentleman will state the inquiry.","Adam Schiff","00:34","Gentleman will state the inquiry."
"10","John Ratcliffe: (00:36) Mr. Chairman, this is our first hearing under these new set of rules. House Resolution 660 gives you the discretion to allow yourself and the ranking member periods of extended questions of up to 45 minutes each before other members are allowed to ask questions. If possible, we’d like to know the rules of engagement before we get started. Have you made a decision yet as to how many 45 minute rounds you will allow yourself and the ranking member?","John Ratcliffe","00:36","Mr. Chairman, this is our first hearing under these new set of rules. House Resolution 660 gives you the discretion to allow yourself and the ranking member periods of extended questions of up to 45 minutes each before other members are allowed to ask questions. If possible, we’d like to know the rules of engagement before we get started. Have you made a decision yet as to how many 45 minute rounds you will allow yourself and the ranking member?"
"11","Adam Schiff: (01:07) I have not. As we informed the minority yesterday, we will see how the first period goes and how much material we are able to get through. At that point, the chair will announce the period, if there is a period of the second round, which may be up to 45 minutes. Or we’ll go straight to a five minute questions by members.","Adam Schiff","01:07","I have not. As we informed the minority yesterday, we will see how the first period goes and how much material we are able to get through. At that point, the chair will announce the period, if there is a period of the second round, which may be up to 45 minutes. Or we’ll go straight to a five minute questions by members."
"12","Adam Schiff: (01:26) For audience members, again, we welcome you and your interest. In turn, we expect and will insist on decorum in the committee. As chairman, I’ll take all necessary and appropriate steps to maintain order and ensure the committee is run in accordance with House rules and House Resolution 660.","Adam Schiff","01:26","For audience members, again, we welcome you and your interest. In turn, we expect and will insist on decorum in the committee. As chairman, I’ll take all necessary and appropriate steps to maintain order and ensure the committee is run in accordance with House rules and House Resolution 660."
"13","Adam Schiff: (01:45) With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States.","Adam Schiff","01:45","With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States."
"14","Adam Schiff: (01:54) In 2014, Russia invaded the United States ally, Ukraine, to reverse that nation’s embrace of the West and to fulfill Vladimir Putin’s desire to rebuild a Russian empire. In the following years, 14,000 Ukrainians died as they battled superior Russian forces.","Adam Schiff","01:54","In 2014, Russia invaded the United States ally, Ukraine, to reverse that nation’s embrace of the West and to fulfill Vladimir Putin’s desire to rebuild a Russian empire. In the following years, 14,000 Ukrainians died as they battled superior Russian forces."
"15","Adam Schiff: (02:18) Earlier this year, Volodymyr Zelensky was elected president of Ukraine on a platform of ending the conflict and tackling corruption. He was a newcomer to politics and immediately sought to establish a relationship with Ukraine’s most powerful patron, the United States.","Adam Schiff","02:18","Earlier this year, Volodymyr Zelensky was elected president of Ukraine on a platform of ending the conflict and tackling corruption. He was a newcomer to politics and immediately sought to establish a relationship with Ukraine’s most powerful patron, the United States."
"16","Adam Schiff: (02:35) The questions presented by this impeachment inquiry are whether president Trump sought to exploit that ally’s vulnerability and invite Ukraine’s interference in our elections. Whether President Trump sought conditioned official acts, such as a White House meeting or US military assistance on Ukraine’s willingness to assist with two political investigations that would help his reelection campaign. And if President Trump did either, whether such an abuse of his power is compatible with the office of the presidency.","Adam Schiff","02:35","The questions presented by this impeachment inquiry are whether president Trump sought to exploit that ally’s vulnerability and invite Ukraine’s interference in our elections. Whether President Trump sought conditioned official acts, such as a White House meeting or US military assistance on Ukraine’s willingness to assist with two political investigations that would help his reelection campaign. And if President Trump did either, whether such an abuse of his power is compatible with the office of the presidency."
"17","Adam Schiff: (03:09) The matter is as simple and as terrible as that. Our answer to these questions will affect not only the future of this presidency, but the future of the presidency itself, and what kind of conduct or misconduct the American people may come to expect from their Commander in Chief.","Adam Schiff","03:09","The matter is as simple and as terrible as that. Our answer to these questions will affect not only the future of this presidency, but the future of the presidency itself, and what kind of conduct or misconduct the American people may come to expect from their Commander in Chief."
"18","Adam Schiff: (03:28) There are a few actions as consequential as the impeachment of a president. While the Founders did not intend that impeachment be employed for mere differences over policy, they also made impeachment a constitutional process that the Congress must utilize as necessary.","Adam Schiff","03:28","There are a few actions as consequential as the impeachment of a president. While the Founders did not intend that impeachment be employed for mere differences over policy, they also made impeachment a constitutional process that the Congress must utilize as necessary."
