"","original","person","timeStamp","comment"
"1","Adam Schiff: (00:00) With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th President of the United States.","Adam Schiff","00:00","With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th President of the United States."
"2","Adam Schiff: (00:08) Last week, we heard from three experienced diplomats who testified about President Trump’s scheme to condition official acts, a White House meeting and hundreds of millions of dollars of US military aid to fight the Russians, on a deliverable by the new Ukrainian President Zelensky, two politically-moded investigations that Trump believed would help his reelection campaign. One of those investigations involved the Bidens and the other involved a discredited conspiracy theory that Ukraine and not Russia was responsible for interfering in our 2016 election.","Adam Schiff","00:08","Last week, we heard from three experienced diplomats who testified about President Trump’s scheme to condition official acts, a White House meeting and hundreds of millions of dollars of US military aid to fight the Russians, on a deliverable by the new Ukrainian President Zelensky, two politically-moded investigations that Trump believed would help his reelection campaign. One of those investigations involved the Bidens and the other involved a discredited conspiracy theory that Ukraine and not Russia was responsible for interfering in our 2016 election."
"3","Adam Schiff: (00:45) As Ambassador Sondland would later tell career Foreign Service Officer David Holmes immediately after speaking to the President, “Trump did not give a-” he then used an expletive, “about Ukraine. He cares about big stuff that benefits the President, like the Biden investigation that Giuliani was pushing.” To press a foreign leader to announce an investigation into his political rival, President Trump put his own personal and political interests above those of the nation. He undermined our military and diplomatic support for a key ally, and undercut US anticorruption efforts in Ukraine. How could our diplomats urge Ukraine to refrain from political investigations of its own citizens if the President of the United States was urging Ukraine to engage in precisely the same kind of corrupt and political investigations of one of our own citizens?","Adam Schiff","00:45","As Ambassador Sondland would later tell career Foreign Service Officer David Holmes immediately after speaking to the President, “Trump did not give a-” he then used an expletive, “about Ukraine. He cares about big stuff that benefits the President, like the Biden investigation that Giuliani was pushing.” To press a foreign leader to announce an investigation into his political rival, President Trump put his own personal and political interests above those of the nation. He undermined our military and diplomatic support for a key ally, and undercut US anticorruption efforts in Ukraine. How could our diplomats urge Ukraine to refrain from political investigations of its own citizens if the President of the United States was urging Ukraine to engage in precisely the same kind of corrupt and political investigations of one of our own citizens?"
"4","Adam Schiff: (01:41) At the White House, career professionals became concerned that President Trump, through an irregular channel that involved his acting Chief of Staff, Mick Mulvaney, EU Ambassador Gordon Sondland, and Rudy Giuliani, was pushing a policy towards Ukraine at odds with the national interest. This morning we hear from two of the national security professionals who became aware of these efforts. Lieutenant Colonel Alexander Vindman, whose family fled oppression in the Soviet Union when he was a toddler, is a career Army officer, an Iraq War veteran who was awarded a Purple Heart, and an expert in Russia and Ukraine who has worked at the highest levels of the Pentagon. In July 2018, he was detailed to the White House, in part to coordinate policy on Ukraine. Jennifer Williams is a career Foreign Service Officer who is currently detailed to the Office of the Vice-President and responsible for Europe and Eurasia related issues.","Adam Schiff","01:41","At the White House, career professionals became concerned that President Trump, through an irregular channel that involved his acting Chief of Staff, Mick Mulvaney, EU Ambassador Gordon Sondland, and Rudy Giuliani, was pushing a policy towards Ukraine at odds with the national interest. This morning we hear from two of the national security professionals who became aware of these efforts. Lieutenant Colonel Alexander Vindman, whose family fled oppression in the Soviet Union when he was a toddler, is a career Army officer, an Iraq War veteran who was awarded a Purple Heart, and an expert in Russia and Ukraine who has worked at the highest levels of the Pentagon. In July 2018, he was detailed to the White House, in part to coordinate policy on Ukraine. Jennifer Williams is a career Foreign Service Officer who is currently detailed to the Office of the Vice-President and responsible for Europe and Eurasia related issues."
"5","Adam Schiff: (02:40) Following his initial and congratulatory phone call with Ukrainian President Zelensky on April 21, Trump asked Vice President Pence to represent him at Zelensky’s upcoming inauguration. Ms. Williams was working on logistics for the trip. Pence would be a coveted attendee, second in significance only to the President, and it would have sent an important signal of support to the new Ukrainian President. In early May, however, Rudy Giuliani had been planning to go to Ukraine to pursue the President’s interest in having the Bidens investigated, but had to call off the trip after it became public. Among others, Giuliani blamed people around Zelensky for having to cancel, and claimed they were antagonistic to Trump. Three days later, the President called off the Vice President’s attendance at Zelensky’s inauguration. Instead, a lower level delegation was named: Energy Secretary Rick Perry, Ambassador Sondland, and Ambassador Kurt Volker, the Three Amigos. Senator Ron Johnson and Lt. Col. Vindman would also attend.","Adam Schiff","02:40","Following his initial and congratulatory phone call with Ukrainian President Zelensky on April 21, Trump asked Vice President Pence to represent him at Zelensky’s upcoming inauguration. Ms. Williams was working on logistics for the trip. Pence would be a coveted attendee, second in significance only to the President, and it would have sent an important signal of support to the new Ukrainian President. In early May, however, Rudy Giuliani had been planning to go to Ukraine to pursue the President’s interest in having the Bidens investigated, but had to call off the trip after it became public. Among others, Giuliani blamed people around Zelensky for having to cancel, and claimed they were antagonistic to Trump. Three days later, the President called off the Vice President’s attendance at Zelensky’s inauguration. Instead, a lower level delegation was named: Energy Secretary Rick Perry, Ambassador Sondland, and Ambassador Kurt Volker, the Three Amigos. Senator Ron Johnson and Lt. Col. Vindman would also attend."
"6","Adam Schiff: (03:47) After returning from the inauguration, several members of the delegation briefed President Trump on their encouraging first interactions with Zelensky. They urged Trump to meet with the Ukrainian President, but Trump instead criticized Ukraine and instructed them to “work with Rudy.” A few weeks later, on July 10, Ambassador Sondland met at the White House with a group of US and Ukrainian officials, including Colonel Vindman, and informed the group that according to Chief of Staff Mulvaney, the White House meeting sought by the Ukrainian President with Trump would happen if Ukraine undertook certain investigations. National Security Advisor Bolton abruptly ended the meeting and said afterwards that he would not be “part of whatever drug deal Sondland and Mulvaney are cooking up on this.”","Adam Schiff","03:47","After returning from the inauguration, several members of the delegation briefed President Trump on their encouraging first interactions with Zelensky. They urged Trump to meet with the Ukrainian President, but Trump instead criticized Ukraine and instructed them to “work with Rudy.” A few weeks later, on July 10, Ambassador Sondland met at the White House with a group of US and Ukrainian officials, including Colonel Vindman, and informed the group that according to Chief of Staff Mulvaney, the White House meeting sought by the Ukrainian President with Trump would happen if Ukraine undertook certain investigations. National Security Advisor Bolton abruptly ended the meeting and said afterwards that he would not be “part of whatever drug deal Sondland and Mulvaney are cooking up on this.”"
"7","Adam Schiff: (04:36) Undeterred, Sondland brought the Ukrainian delegation downstairs to another part of the White House and was more explicit, according to witnesses. Ukraine needed to investigate the Bidens or Burisma if they were to get a White House meeting with Trump. After this discussion, which Vindman witnessed, he went to the National Security Council’s top lawyer to report the matter. Vindman was told to return in the future with any concerns. He would soon find the need to do so.","Adam Schiff","04:36","Undeterred, Sondland brought the Ukrainian delegation downstairs to another part of the White House and was more explicit, according to witnesses. Ukraine needed to investigate the Bidens or Burisma if they were to get a White House meeting with Trump. After this discussion, which Vindman witnessed, he went to the National Security Council’s top lawyer to report the matter. Vindman was told to return in the future with any concerns. He would soon find the need to do so."
"8","Adam Schiff: (05:02) A week later, on July 18, a representative of the Office of Management and Budget announced on a video conference call that Mulvaney, at Trump’s direction, was freezing nearly $400 million in military assistance to Ukraine which was appropriated by Congress and enjoyed the support of the entirety of the US national security establishment. And one week after that, Trump would have the now infamous July 25 phone call with Zelensky. During that call, Trump complained that the U.S. relationship with Ukraine had not been “reciprocal.” Later, Zelensky thanks Trump for his support “in the area of defense,” and says that Ukraine was ready to purchase more Javelins, an antitank weapon that was among the most important deterrents of further Russian military action. Trump’s immediate response: “I would like you to do us a favor, though.”","Adam Schiff","05:02","A week later, on July 18, a representative of the Office of Management and Budget announced on a video conference call that Mulvaney, at Trump’s direction, was freezing nearly $400 million in military assistance to Ukraine which was appropriated by Congress and enjoyed the support of the entirety of the US national security establishment. And one week after that, Trump would have the now infamous July 25 phone call with Zelensky. During that call, Trump complained that the U.S. relationship with Ukraine had not been “reciprocal.” Later, Zelensky thanks Trump for his support “in the area of defense,” and says that Ukraine was ready to purchase more Javelins, an antitank weapon that was among the most important deterrents of further Russian military action. Trump’s immediate response: “I would like you to do us a favor, though.”"
"9","Adam Schiff: (05:54) Trump then requested that Zelensky investigate the discredited 2016 conspiracy theory, and even more ominously, look into the Bidens. Neither was part of the official preparatory material for the call, but they were in Donald Trump’s personal interest, and in the interests of his 2020 re-election campaign. And the Ukrainian President knew about both in advance, because Sondland and others had been pressing Ukraine for weeks about investigations into the 2016 election, Burisma and the Bidens.","Adam Schiff","05:54","Trump then requested that Zelensky investigate the discredited 2016 conspiracy theory, and even more ominously, look into the Bidens. Neither was part of the official preparatory material for the call, but they were in Donald Trump’s personal interest, and in the interests of his 2020 re-election campaign. And the Ukrainian President knew about both in advance, because Sondland and others had been pressing Ukraine for weeks about investigations into the 2016 election, Burisma and the Bidens."
"10","Adam Schiff: (06:26) Both Col. Vindman and Ms. Williams were on the July 25 call. Vindman testified that due to the unequal bargaining position of the two leaders and Ukraine’s dependency on the US, the favor Trump asked of Zelensky was really a demand. After the call, multiple individuals, including Vindman, were concerned enough to report it to the National Security Council’s top lawyer. It was the second time in two weeks that Vindman had raised concerns with the NSC lawyers. For her part, Williams also believed that asking Zelensky to undertake these political investigations was inappropriate, and that it might explain something else she had become aware of, the otherwise inexplicable hold on US military assistance to Ukraine .","Adam Schiff","06:26","Both Col. Vindman and Ms. Williams were on the July 25 call. Vindman testified that due to the unequal bargaining position of the two leaders and Ukraine’s dependency on the US, the favor Trump asked of Zelensky was really a demand. After the call, multiple individuals, including Vindman, were concerned enough to report it to the National Security Council’s top lawyer. It was the second time in two weeks that Vindman had raised concerns with the NSC lawyers. For her part, Williams also believed that asking Zelensky to undertake these political investigations was inappropriate, and that it might explain something else she had become aware of, the otherwise inexplicable hold on US military assistance to Ukraine ."
