"","original","person","timeStamp","comment"
"1","Adam Schiff: (00:54) Committee will come to order. Good afternoon. This is the fourth in a series of public hearings the committee will be holding as part of the House of Representatives impeachment inquiry. Without objection, the chair is authorized to declare a recess of the committee at any time. There is a quorum present. We will proceed today in the same fashion as our other hearings. I’ll make an opening statement and then the ranking member will have an opportunity to make his opening statement. Then we will turn to our witnesses for opening statements and then two questions.","Adam Schiff","00:54","Committee will come to order. Good afternoon. This is the fourth in a series of public hearings the committee will be holding as part of the House of Representatives impeachment inquiry. Without objection, the chair is authorized to declare a recess of the committee at any time. There is a quorum present. We will proceed today in the same fashion as our other hearings. I’ll make an opening statement and then the ranking member will have an opportunity to make his opening statement. Then we will turn to our witnesses for opening statements and then two questions."
"2","Adam Schiff: (01:23) With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States. This afternoon, we will hear from two witnesses requested by the minority: Ambassador Kurt Volker, the state department Special Representative for Ukraine negotiations and Tim Morrison, the former senior director for European affairs at the National Security Council. I appreciate the minority’s request for these two important witnesses as well as under secretary of state David Hale from whom we will hear tomorrow.","Adam Schiff","01:23","With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States. This afternoon, we will hear from two witnesses requested by the minority: Ambassador Kurt Volker, the state department Special Representative for Ukraine negotiations and Tim Morrison, the former senior director for European affairs at the National Security Council. I appreciate the minority’s request for these two important witnesses as well as under secretary of state David Hale from whom we will hear tomorrow."
"3","Adam Schiff: (01:55) As we have heard from other witnesses, when Joe Biden was considering whether to enter the race for the presidency in 2020, the president’s personal lawyer, Rudy Giuliani, began a campaign to weaken Vice President Biden’s candidacy by pushing Ukraine to investigate him and his son. To clear away any obstacle to the scheme, days after the new Ukrainian president was elected, Trump ordered the recall of Marie Yovanovitch, the American ambassador in Kyiv who was known for pushing anti-corruption efforts.","Adam Schiff","01:55","As we have heard from other witnesses, when Joe Biden was considering whether to enter the race for the presidency in 2020, the president’s personal lawyer, Rudy Giuliani, began a campaign to weaken Vice President Biden’s candidacy by pushing Ukraine to investigate him and his son. To clear away any obstacle to the scheme, days after the new Ukrainian president was elected, Trump ordered the recall of Marie Yovanovitch, the American ambassador in Kyiv who was known for pushing anti-corruption efforts."
"4","Adam Schiff: (02:25) Trump also canceled Vice President Mike Pence’s participation in the inauguration of President Zelensky on May 20th and instead sent a delegation headed by Energy Secretary Rick Perry, ambassador to the EU Gordon Sondland and ambassador Kurt Volker. These three returned from Kyiv and briefed President Trump on their encouraging first interactions with the new Ukrainian administration. Hopes that Trump would agree to an early meeting with the Ukrainian president were soon diminished, however, when Trump pushed back.","Adam Schiff","02:25","Trump also canceled Vice President Mike Pence’s participation in the inauguration of President Zelensky on May 20th and instead sent a delegation headed by Energy Secretary Rick Perry, ambassador to the EU Gordon Sondland and ambassador Kurt Volker. These three returned from Kyiv and briefed President Trump on their encouraging first interactions with the new Ukrainian administration. Hopes that Trump would agree to an early meeting with the Ukrainian president were soon diminished, however, when Trump pushed back."
"5","Adam Schiff: (02:58) According to Volker, he just didn’t believe it. He was skeptical, and he also said, “That’s not what I hear. I hear he’s got some terrible people around him.” President Trump also told them he believed that Ukraine tried to take him down. He told the three Amigos, “Talk to Rudy,” and they did. One of those interactions took place a week before the July 25th phone call between Trump and Zelensky when Ambassador Volker had breakfast with Rudy Giuliani at the Trump Hotel. Volker testified that he pushed back on Giuliani’s accusation against Joe Biden.","Adam Schiff","02:58","According to Volker, he just didn’t believe it. He was skeptical, and he also said, “That’s not what I hear. I hear he’s got some terrible people around him.” President Trump also told them he believed that Ukraine tried to take him down. He told the three Amigos, “Talk to Rudy,” and they did. One of those interactions took place a week before the July 25th phone call between Trump and Zelensky when Ambassador Volker had breakfast with Rudy Giuliani at the Trump Hotel. Volker testified that he pushed back on Giuliani’s accusation against Joe Biden."
"6","Adam Schiff: (03:34) On July 22nd, just days before Trump would talk to Zelensky, Ambassador Volker had a telephone conference with Giuliani and Andriy Yermak, a top advisor to the Ukrainian president so that Giuliani could be introduced to Yermak. On July 25th, the same day as the call between President Trump and Zelensky, but before it took place, Ambassador Volker sent a text message to Yermak, “Heard from the White House. Assuming president Z convinces Trump, he will investigate/get to the bottom of what happened in 2016. We will nail down date for a visit to Washington. Good luck!”","Adam Schiff","03:34","On July 22nd, just days before Trump would talk to Zelensky, Ambassador Volker had a telephone conference with Giuliani and Andriy Yermak, a top advisor to the Ukrainian president so that Giuliani could be introduced to Yermak. On July 25th, the same day as the call between President Trump and Zelensky, but before it took place, Ambassador Volker sent a text message to Yermak, “Heard from the White House. Assuming president Z convinces Trump, he will investigate/get to the bottom of what happened in 2016. We will nail down date for a visit to Washington. Good luck!”"
"7","Adam Schiff: (04:13) Later that day, Donald Trump would have the now-infamous phone call with Zelensky in which he responded to Ukraine’s appreciation for US defense support and a request by President Zelensky to buy more javelin anti-tank missiles by saying, ” I would like you to do us a favor though.” The favor involved the two investigations that Giuliani had been pushing for into the Bidens in 2016. Ambassador Volker was not on the call, but when asked about what it reflected, he testified, “No president of the United States should ask a foreign leader to help interfere in a US election.”","Adam Schiff","04:13","Later that day, Donald Trump would have the now-infamous phone call with Zelensky in which he responded to Ukraine’s appreciation for US defense support and a request by President Zelensky to buy more javelin anti-tank missiles by saying, ” I would like you to do us a favor though.” The favor involved the two investigations that Giuliani had been pushing for into the Bidens in 2016. Ambassador Volker was not on the call, but when asked about what it reflected, he testified, “No president of the United States should ask a foreign leader to help interfere in a US election.”"
"8","Adam Schiff: (04:51) Among those listening in on the July 25th call was Tim Morrison who had taken over as the NSC senior director for European affairs at the NSC only days before, but had been briefed by his predecessor, Fiona Hill, about the irregular second channel that was operating in parallel to the official one. Lieutenant Colonel Vindman and Ms. Williams, from whom we heard this morning, like them, Morrison emerged from the call troubled. He was concerned enough about what he heard on the July 25th call that he went to see the NSC legal advisors soon after it had ended.","Adam Schiff","04:51","Among those listening in on the July 25th call was Tim Morrison who had taken over as the NSC senior director for European affairs at the NSC only days before, but had been briefed by his predecessor, Fiona Hill, about the irregular second channel that was operating in parallel to the official one. Lieutenant Colonel Vindman and Ms. Williams, from whom we heard this morning, like them, Morrison emerged from the call troubled. He was concerned enough about what he heard on the July 25th call that he went to see the NSC legal advisors soon after it had ended."
"9","Adam Schiff: (05:26) Colonel Vindman’s fear was that the president had broken the law potentially, but Morrison said that his concern was that the call could be damaging if it were leaked. Soon after this discussion with lawyers at the NSC, the call record was hidden away on a secure server used to store highly classified intelligence where it remained until late September when the call record was publicly released. Following the July 25th call, Ambassador Volker worked with Sondland and the Ukrainian president’s close adviser, Yermak, on a statement that would satisfy Giuliani. When Yermak sent over a draft that’s still failed to include the specific words Burisma and 2016, Giuliani said the statement would lack credibility. Ambassador Volker then added both Burisma and 2016 to the draft statement. Both Volker and Morrison were, by late July, aware that the security assistance had been cut off at the direction of the president and acting White House chief of staff, Mick Mulvaney. As the Ukrainians became aware of the suspension of security assistance and the negotiations over the scheduling of a White House meeting between Trump and Zelensky dragged on, the pressure increased and any pretense that there was no linkage soon dropped away.","Adam Schiff","05:26","Colonel Vindman’s fear was that the president had broken the law potentially, but Morrison said that his concern was that the call could be damaging if it were leaked. Soon after this discussion with lawyers at the NSC, the call record was hidden away on a secure server used to store highly classified intelligence where it remained until late September when the call record was publicly released. Following the July 25th call, Ambassador Volker worked with Sondland and the Ukrainian president’s close adviser, Yermak, on a statement that would satisfy Giuliani. When Yermak sent over a draft that’s still failed to include the specific words Burisma and 2016, Giuliani said the statement would lack credibility. Ambassador Volker then added both Burisma and 2016 to the draft statement. Both Volker and Morrison were, by late July, aware that the security assistance had been cut off at the direction of the president and acting White House chief of staff, Mick Mulvaney. As the Ukrainians became aware of the suspension of security assistance and the negotiations over the scheduling of a White House meeting between Trump and Zelensky dragged on, the pressure increased and any pretense that there was no linkage soon dropped away."
"10","Adam Schiff: (06:40) Morrison accompanied Vice President Pence to Warsaw on September 1st where Pence and Zelensky met, and Zelensky raised the suspended security assistance. Following that meeting, Sondland approached Yermak to tell him that he believed that what could help move the aid was if the Ukrainian prosecutor general would go to the mic and announced that he was opening the Burisma investigation. On September 7th, Ambassador Sondland had a telephone call with Trump and asked him what he wanted from Ukraine.","Adam Schiff","06:40","Morrison accompanied Vice President Pence to Warsaw on September 1st where Pence and Zelensky met, and Zelensky raised the suspended security assistance. Following that meeting, Sondland approached Yermak to tell him that he believed that what could help move the aid was if the Ukrainian prosecutor general would go to the mic and announced that he was opening the Burisma investigation. On September 7th, Ambassador Sondland had a telephone call with Trump and asked him what he wanted from Ukraine."
