"","original","person","timeStamp","comment"
"1","Adam Schiff: (00:00) Order. Good morning, everyone. This is the second in a series of public hearings the committee will be holding as part of the House’s impeachment inquiry. Without objection, the chair is authorized to declare recess of the committee at any time. There is a quorum present. We will proceed today in the same fashion as our first hearing. I’ll make an opening statement, and then Ranking Member, Nunes, will have the opportunity to make a statement. Then we will turn to our witness for an opening statement and then to questions. For audience members, we welcome you and respect your interest in being here. In turn, we ask for your respect as we proceed with today’s hearing.","Adam Schiff","00:00","Order. Good morning, everyone. This is the second in a series of public hearings the committee will be holding as part of the House’s impeachment inquiry. Without objection, the chair is authorized to declare recess of the committee at any time. There is a quorum present. We will proceed today in the same fashion as our first hearing. I’ll make an opening statement, and then Ranking Member, Nunes, will have the opportunity to make a statement. Then we will turn to our witness for an opening statement and then to questions. For audience members, we welcome you and respect your interest in being here. In turn, we ask for your respect as we proceed with today’s hearing."
"2","Adam Schiff: (00:36) It is the intention of the committee to proceed without disruptions. As chairman, I will take all necessary and appropriate steps to maintain order and to ensure that the committee is run in accordance with House rules and House Resolution 660. With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States.","Adam Schiff","00:36","It is the intention of the committee to proceed without disruptions. As chairman, I will take all necessary and appropriate steps to maintain order and to ensure that the committee is run in accordance with House rules and House Resolution 660. With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States."
"3","Adam Schiff: (00:56) In April 2019, the United States ambassador to Ukraine, Marie Yovanovitch, was in Kiev when she was called by a senior State Department official and told to get on the next plane back to Washington. Upon her return to DC, she was informed by her superiors that although she had done nothing wrong, she could no longer serve as ambassador to Ukraine because she did not have the confidence of the president. It was a stunning turn of events for this highly-regarded career diplomat who had done such a remarkable job fighting corruption in Ukraine that a short time earlier she had been asked by the State Department to extend her tour. Ambassador Yovanovitch has been in the Foreign Service for 33 years and served much of that time in the former Soviet Union.","Adam Schiff","00:56","In April 2019, the United States ambassador to Ukraine, Marie Yovanovitch, was in Kiev when she was called by a senior State Department official and told to get on the next plane back to Washington. Upon her return to DC, she was informed by her superiors that although she had done nothing wrong, she could no longer serve as ambassador to Ukraine because she did not have the confidence of the president. It was a stunning turn of events for this highly-regarded career diplomat who had done such a remarkable job fighting corruption in Ukraine that a short time earlier she had been asked by the State Department to extend her tour. Ambassador Yovanovitch has been in the Foreign Service for 33 years and served much of that time in the former Soviet Union."
"4","Adam Schiff: (01:47) Her parents had fled Stalin and later Hitler, before settling in the United States. She is an exemplary officer who is widely praised and respected by her colleagues. She is known as an anti-corruption champion whose tour in Kiev was viewed as very successful. Ambassador Michael McKinley who had served with her in the Foreign Service for several decades stated that from the earliest days of her career in the Foreign Service she was excellent, serious, committed. I certainly remember her being one of those people who seemed to be destined for greater things. Her successor who is acting chief of mission in Ukraine, Ambassador Bill Taylor, described her as very frank. She was very direct. She made points very clearly and she was indeed tough on corruption. And she named names. And that sometimes is controversial out there, but she’s a strong person and made those charges.","Adam Schiff","01:47","Her parents had fled Stalin and later Hitler, before settling in the United States. She is an exemplary officer who is widely praised and respected by her colleagues. She is known as an anti-corruption champion whose tour in Kiev was viewed as very successful. Ambassador Michael McKinley who had served with her in the Foreign Service for several decades stated that from the earliest days of her career in the Foreign Service she was excellent, serious, committed. I certainly remember her being one of those people who seemed to be destined for greater things. Her successor who is acting chief of mission in Ukraine, Ambassador Bill Taylor, described her as very frank. She was very direct. She made points very clearly and she was indeed tough on corruption. And she named names. And that sometimes is controversial out there, but she’s a strong person and made those charges."
"5","Adam Schiff: (02:47) In her time in Kiev, Ambassador Yovanovitch was tough on corruption, too tough on corruption for some, and her principled stance made her enemies. As George Kent told this committee on Wednesday, you can’t promote principled anti-corruption action without pissing off corrupt people. And Ambassador Yovanovitch did not just piss off corrupt Ukrainians like the corrupt former Prosecutor General, Yuriy Lutsenko, but also certain Americans, like Rudy Giuliani, Donald Trump’s personal attorney, and two individuals now indicted who worked with him, Igor Fruman and Lev Parnas.","Adam Schiff","02:47","In her time in Kiev, Ambassador Yovanovitch was tough on corruption, too tough on corruption for some, and her principled stance made her enemies. As George Kent told this committee on Wednesday, you can’t promote principled anti-corruption action without pissing off corrupt people. And Ambassador Yovanovitch did not just piss off corrupt Ukrainians like the corrupt former Prosecutor General, Yuriy Lutsenko, but also certain Americans, like Rudy Giuliani, Donald Trump’s personal attorney, and two individuals now indicted who worked with him, Igor Fruman and Lev Parnas."
"6","Adam Schiff: (03:28) Lutsenko, Giuliani, Fruman, Parnas and others who had come to include the president’s own son, Don Jr., promoted a smear campaign against her based on false allegations. At the State Department there was an effort to push back to obtain a statement of support from Secretary Pompeo, but those efforts failed when it became clear that President Trump wanted her gone. Some have argued that a president has the ability to nominate or remove any ambassador he wants, that they serve at the pleasure of the president, and that is true. The question before us is not whether Donald Trump could recall an American ambassador with a stellar reputation for fighting corruption in Ukraine, but why would he want to? Why did Rudy Giuliani want her gone, and why did Donald Trump?","Adam Schiff","03:28","Lutsenko, Giuliani, Fruman, Parnas and others who had come to include the president’s own son, Don Jr., promoted a smear campaign against her based on false allegations. At the State Department there was an effort to push back to obtain a statement of support from Secretary Pompeo, but those efforts failed when it became clear that President Trump wanted her gone. Some have argued that a president has the ability to nominate or remove any ambassador he wants, that they serve at the pleasure of the president, and that is true. The question before us is not whether Donald Trump could recall an American ambassador with a stellar reputation for fighting corruption in Ukraine, but why would he want to? Why did Rudy Giuliani want her gone, and why did Donald Trump?"
"7","Adam Schiff: (04:21) And why would Donald Trump instruct the new team he put in place, the three amigos, Gordon Sondland, Rick Perry and Kurt Volker, to work with the same man, Rudy Giuliani, who played such a central role in the smear campaign against her? Rudy Giuliani has made no secret of his desire to get Ukraine to open investigations into the Bidens, as well as a conspiracy theory of Ukrainian interference in the 2016 election. As he said in one interview in May 2019, we’re not meddling in an election, we’re meddling in an investigation, which we have a right to do. More recently, he told CNN’s Chris Cuomo, “Of course I did,” when asked if he had pressed Ukraine to investigate Joe Biden. And he has never been shy about who he is doing this work for, his client, the president.","Adam Schiff","04:21","And why would Donald Trump instruct the new team he put in place, the three amigos, Gordon Sondland, Rick Perry and Kurt Volker, to work with the same man, Rudy Giuliani, who played such a central role in the smear campaign against her? Rudy Giuliani has made no secret of his desire to get Ukraine to open investigations into the Bidens, as well as a conspiracy theory of Ukrainian interference in the 2016 election. As he said in one interview in May 2019, we’re not meddling in an election, we’re meddling in an investigation, which we have a right to do. More recently, he told CNN’s Chris Cuomo, “Of course I did,” when asked if he had pressed Ukraine to investigate Joe Biden. And he has never been shy about who he is doing this work for, his client, the president."
"8","Adam Schiff: (05:15) One powerful ally Giuliani had in Ukraine to promote these political investigations was Lutsenko, the corrupt former Prosecutor General. And one powerful adversary Lutsenko had was a certain United States ambassador named Marie Yovanovitch. It is no coincidence that in the now infamous July 25th call with Zelensky, Donald Trump brings up a corrupt Ukrainian prosecutor and praises him. Against all evidence, Trump claims that this former Prosecutor General was very good, and he was shut down, and that’s really unfair. But the woman known for fighting corruption, his own former ambassador, the woman ruthlessly smeared and driven from her post, the president does nothing but disparage, or worse, threaten.","Adam Schiff","05:15","One powerful ally Giuliani had in Ukraine to promote these political investigations was Lutsenko, the corrupt former Prosecutor General. And one powerful adversary Lutsenko had was a certain United States ambassador named Marie Yovanovitch. It is no coincidence that in the now infamous July 25th call with Zelensky, Donald Trump brings up a corrupt Ukrainian prosecutor and praises him. Against all evidence, Trump claims that this former Prosecutor General was very good, and he was shut down, and that’s really unfair. But the woman known for fighting corruption, his own former ambassador, the woman ruthlessly smeared and driven from her post, the president does nothing but disparage, or worse, threaten."
"9","Adam Schiff: (06:09) Well, she’s going to go through some things, the president declares. That tells you a lot about the president’s priorities and intentions. Getting rid of Ambassador Yovanovitch helped to set the stage for an irregular channel that could pursue the two investigations that mattered so much to the president, the 2016 conspiracy theory, and most important, an investigation into the 2020 political opponent he apparently feared most, Joe Biden. And the president’s scheme might have worked but for the fact that the man who would succeed Ambassador Yovanovitch, whom we heard from on Wednesday, Acting Ambassador Taylor, would eventually discover the effort to press Ukraine into conducting these investigations and would push back, but for the fact also that someone blew the whistle.","Adam Schiff","06:09","Well, she’s going to go through some things, the president declares. That tells you a lot about the president’s priorities and intentions. Getting rid of Ambassador Yovanovitch helped to set the stage for an irregular channel that could pursue the two investigations that mattered so much to the president, the 2016 conspiracy theory, and most important, an investigation into the 2020 political opponent he apparently feared most, Joe Biden. And the president’s scheme might have worked but for the fact that the man who would succeed Ambassador Yovanovitch, whom we heard from on Wednesday, Acting Ambassador Taylor, would eventually discover the effort to press Ukraine into conducting these investigations and would push back, but for the fact also that someone blew the whistle."
"10","Adam Schiff: (07:00) Ambassador Yovanovitch was serving our nation’s interest in fighting corruption in Ukraine, but she was considered an obstacle to the furtherance of the president’s personal and political agenda. For that, she was smeared and cast aside. The powers of the presidency are immense, but they are not absolute. And they cannot be used for corrupt purpose. The American people expect their president to use the authority they grant him in the service of the nation, not to destroy others to advance his personal or political interests. I now recognize Ranking Member Nunes for his remarks.","Adam Schiff","07:00","Ambassador Yovanovitch was serving our nation’s interest in fighting corruption in Ukraine, but she was considered an obstacle to the furtherance of the president’s personal and political agenda. For that, she was smeared and cast aside. The powers of the presidency are immense, but they are not absolute. And they cannot be used for corrupt purpose. The American people expect their president to use the authority they grant him in the service of the nation, not to destroy others to advance his personal or political interests. I now recognize Ranking Member Nunes for his remarks."
